titre,realisateur,nombre_de_film,Ville,titre_realisateur
DEMAIN- A L'AUBE,GAEL CABOUAT,1,Paris,DEMAIN- A L'AUBE_GAEL CABOUAT
LES MAINS LIBRES,BRIGITTE SY,1,Paris,LES MAINS LIBRES_BRIGITTE SY
TOURNEE,MATHIEU AMALRIC,1,Paris,TOURNEE_MATHIEU AMALRIC
RENDEZ VOUS AVEC UN ANGE / OU VAS TU JUDITH,DE DARUVAR/THOMAS,1,Paris,RENDEZ VOUS AVEC UN ANGE / OU VAS TU JUDITH_DE DARUVAR/THOMAS
TUTTO L'AMORE DEL MUNDO,RICCARDO GRANDI,1,Paris,TUTTO L'AMORE DEL MUNDO_RICCARDO GRANDI
TUTTO L'AMORE DEL MUNDO,RICCARDO GRANDI,1,Paris,TUTTO L'AMORE DEL MUNDO_RICCARDO GRANDI
CA COMMENCE PAR LA FIN,MICHAEL COHEN,1,Paris,CA COMMENCE PAR LA FIN_MICHAEL COHEN
J'PLEURE PAS,A ET N GIRAUD,1,Paris,J'PLEURE PAS_A ET N GIRAUD
L'AMOUR C'EST MIEUX A DEUX,D.FARRUGIA/A.LEFORT,1,Paris,L'AMOUR C'EST MIEUX A DEUX_D.FARRUGIA/A.LEFORT
L'AMOUR C'EST MIEUX A DEUX,D.FARRUGIA/A.LEFORT,1,Paris,L'AMOUR C'EST MIEUX A DEUX_D.FARRUGIA/A.LEFORT
L'AMOUR C'EST MIEUX A DEUX,D.FARRUGIA/A.LEFORT,1,Paris,L'AMOUR C'EST MIEUX A DEUX_D.FARRUGIA/A.LEFORT
L'ARNACOEUR / HEARTBREAKER,PASCAL CHAUMEIL,1,Paris,L'ARNACOEUR / HEARTBREAKER_PASCAL CHAUMEIL
ENSEMBLE- NOUS ALLONS VIVRE UNE TRES GRANDE HISTOIRE D'AMOUR,PASCAL THOMAS,1,Paris,ENSEMBLE- NOUS ALLONS VIVRE UNE TRES GRANDE HISTOIRE D'AMOUR_PASCAL THOMAS
ENSEMBLE- NOUS ALLONS VIVRE UNE TRES GRANDE HISTOIRE D'AMOUR,PASCAL THOMAS,1,Paris,ENSEMBLE- NOUS ALLONS VIVRE UNE TRES GRANDE HISTOIRE D'AMOUR_PASCAL THOMAS
NODAME CANTABILE 2,HIDEKI TAKEUCHI,1,Paris,NODAME CANTABILE 2_HIDEKI TAKEUCHI
GIGOLA,LAURE CHARPENTIER,1,Paris,GIGOLA_LAURE CHARPENTIER
GIGOLA,LAURE CHARPENTIER,1,Paris,GIGOLA_LAURE CHARPENTIER
"118,318",JULIEN BAILLARGEON,1,Paris,"118,318_JULIEN BAILLARGEON"
ASAL,K.V. SARAVANAN,1,Paris,ASAL_K.V. SARAVANAN
ASAL,K.V. SARAVANAN,1,Paris,ASAL_K.V. SARAVANAN
ASAL,K.V. SARAVANAN,1,Paris,ASAL_K.V. SARAVANAN
AUX ARMES/TOI MOI ET LES AUTRES,AUDREY ESTROUGO,1,Paris,AUX ARMES/TOI MOI ET LES AUTRES_AUDREY ESTROUGO
LA SIGNATURE,S. HARALAMBOPOULOS,1,Paris,LA SIGNATURE_S. HARALAMBOPOULOS
BRACELETS DE FER,GENIFOR JAYAKOBY,1,Paris,BRACELETS DE FER_GENIFOR JAYAKOBY
BRACELETS DE FER,GENIFOR JAYAKOBY,1,Paris,BRACELETS DE FER_GENIFOR JAYAKOBY
BRACELETS DE FER,GENIFOR JAYAKOBY,1,Paris,BRACELETS DE FER_GENIFOR JAYAKOBY
BRACELETS DE FER,GENIFOR JAYAKOBY,1,Paris,BRACELETS DE FER_GENIFOR JAYAKOBY
BRACELETS DE FER,GENIFOR JAYAKOBY,1,Paris,BRACELETS DE FER_GENIFOR JAYAKOBY
BRACELETS DE FER,GENIFOR JAYAKOBY,1,Paris,BRACELETS DE FER_GENIFOR JAYAKOBY
FLEURS DU MAL,DAVID DUSA,1,Paris,FLEURS DU MAL_DAVID DUSA
UNE PURE AFFAIRE/SUR DES RAILS,ALEXANDRE COFFRE,1,Paris,UNE PURE AFFAIRE/SUR DES RAILS_ALEXANDRE COFFRE
UNE PURE AFFAIRE/SUR DES RAILS,ALEXANDRE COFFRE,1,Paris,UNE PURE AFFAIRE/SUR DES RAILS_ALEXANDRE COFFRE
NO ET MOI,ZABOU BREITMAN,1,Paris,NO ET MOI_ZABOU BREITMAN
NO ET MOI,ZABOU BREITMAN,1,Paris,NO ET MOI_ZABOU BREITMAN
A BOUT PORTANT,FRED CAVAYE,1,Paris,A BOUT PORTANT_FRED CAVAYE
MONSIEUR PAPA,KAD MERAD,1,Paris,MONSIEUR PAPA_KAD MERAD
UNE FOLLE ENVIE,BERNARD JEANJEAN,1,Paris,UNE FOLLE ENVIE_BERNARD JEANJEAN
THE TOURIST,F. VON DONNERSMARCK,1,Paris,THE TOURIST_F. VON DONNERSMARCK
THE TOURIST,F. VON DONNERSMARCK,1,Paris,THE TOURIST_F. VON DONNERSMARCK
MA PREMIERE FOIS,M.C MENTION SCHAAR,1,Paris,MA PREMIERE FOIS_M.C MENTION SCHAAR
IL RESTE DU JAMBON,ANNE DEPETRINI,1,Paris,IL RESTE DU JAMBON_ANNE DEPETRINI
IL RESTE DU JAMBON,ANNE DEPETRINI,1,Paris,IL RESTE DU JAMBON_ANNE DEPETRINI
IL RESTE DU JAMBON,ANNE DEPETRINI,1,Paris,IL RESTE DU JAMBON_ANNE DEPETRINI
JE SUIS UN ASSASSIN,THOMAS VINCENT,1,Paris,JE SUIS UN ASSASSIN_THOMAS VINCENT
JE SUIS UN ASSASSIN,THOMAS VINCENT,1,Paris,JE SUIS UN ASSASSIN_THOMAS VINCENT
HOUSE OF D.,DAVID DUCHOVNY,1,Paris,HOUSE OF D._DAVID DUCHOVNY
CLEAN,OLIVIER ASSAYAS,1,Paris,CLEAN_OLIVIER ASSAYAS
BEUR ET MARGARINE,MAHMOUD ZEMMOURI,1,Paris,BEUR ET MARGARINE_MAHMOUD ZEMMOURI
BEUR ET MARGARINE,MAHMOUD ZEMMOURI,1,Paris,BEUR ET MARGARINE_MAHMOUD ZEMMOURI
LE SOUFFLEUR,GUILLAUME PIXIE,1,Paris,LE SOUFFLEUR_GUILLAUME PIXIE
PEOPLE - JET SET 2,FABIEN ONTENIENTE,1,Paris,PEOPLE - JET SET 2_FABIEN ONTENIENTE
TZAMETI,GELO BABLUANI,1,Paris,TZAMETI_GELO BABLUANI
TROIS PETITES FILLES,JEAN LOUP HUBERT,1,Paris,TROIS PETITES FILLES_JEAN LOUP HUBERT
ETAT AMOUREUX,SAAD HENDAWY,1,Paris,ETAT AMOUREUX_SAAD HENDAWY
LE COURAGE D'AIMER (LE BONHEUR C'EST MIEUX QUE LA VIE),CLAUDE LELOUCH,1,Paris,LE COURAGE D'AIMER (LE BONHEUR C'EST MIEUX QUE LA VIE)_CLAUDE LELOUCH
LE COURAGE D'AIMER (LE BONHEUR C'EST MIEUX QUE LA VIE),CLAUDE LELOUCH,1,Paris,LE COURAGE D'AIMER (LE BONHEUR C'EST MIEUX QUE LA VIE)_CLAUDE LELOUCH
LE COURAGE D'AIMER (LE BONHEUR C'EST MIEUX QUE LA VIE),CLAUDE LELOUCH,1,Paris,LE COURAGE D'AIMER (LE BONHEUR C'EST MIEUX QUE LA VIE)_CLAUDE LELOUCH
LE COURAGE D'AIMER (LE BONHEUR C'EST MIEUX QUE LA VIE),CLAUDE LELOUCH,1,Paris,LE COURAGE D'AIMER (LE BONHEUR C'EST MIEUX QUE LA VIE)_CLAUDE LELOUCH
PEDALE DURE,GABRIEL AGHION,1,Paris,PEDALE DURE_GABRIEL AGHION
PEDALE DURE,GABRIEL AGHION,1,Paris,PEDALE DURE_GABRIEL AGHION
PEDALE DURE,GABRIEL AGHION,1,Paris,PEDALE DURE_GABRIEL AGHION
VAHE/ LES MAUVAIS jOUEURS,BALEKDJIAN FREDERIC,1,Paris,VAHE/ LES MAUVAIS jOUEURS_BALEKDJIAN FREDERIC
VAHE/ LES MAUVAIS jOUEURS,BALEKDJIAN FREDERIC,1,Paris,VAHE/ LES MAUVAIS jOUEURS_BALEKDJIAN FREDERIC
